AIG1	NM_016108
AIM1	NM_001624
AIM1L	NM_001039775
AIM2	NM_004833
AIMP1	NM_001142415
AIMP2	NM_006303
AIP	NM_003977
AIPL1	NM_014336
AIRE	NM_000383
AIRN	NR_047514
AJAP1	NM_018836
AJUBA	NM_032876
AK1	NM_000476
AK2	NM_001625
AK3	NM_016282
AK4	NM_203464
AK5	NM_174858
AK6	NM_001015891
AK7	NM_152327
AK8	NM_152572
AK9	NM_001145128
AKAIN1	NM_001145194
AKAP1	NM_003488
AKAP10	NM_007202
AKAP11	NM_016248
AKAP12	NM_005100
AKAP13	NM_006738
AKAP14	NM_178813
AKAP17A	NM_005088
AKAP2	NM_001004065
AKAP3	NM_006422
AKAP4	NM_003886
AKAP5	NM_004857
AKAP6	NM_004274
AKAP7	NM_016377
AKAP8	NM_005858
AKAP8L	NM_014371
AKAP9	NM_005751
AKIP1	NM_020642
AKIRIN1	NM_024595
AKIRIN2	NM_018064
AKNA	NM_030767
AKNAD1	NM_152763
AKR1A1	NM_153326
AKR1B1	NM_001628
AKR1B10	NM_020299
AKR1B15	NM_001080538
AKR1C1	NM_001353
AKR1C2	NM_205845
AKR1C3	NM_001253908
AKR1C4	NM_001818
AKR1C6P	NR_026743
AKR1C8P	NR_027916
AKR1D1	NM_005989
AKR1E2	NM_001040177
AKR7A2	NM_003689
AKR7A2P1	NR_002796
AKR7A3	NM_012067
AKR7L	NR_040288
AKT1	NM_001014431
AKT1S1	NM_001278160
AKT2	NM_001626
AKT3	NM_005465
AKTIP	NM_022476
ALAD	NM_000031
ALAS1	NM_199166
ALAS2	NM_000032
ALB	NM_000477
ALCAM	NM_001627
ALDH16A1	NM_153329
ALDH18A1	NM_002860
ALDH1A1	NM_000689
ALDH1A2	NM_003888
ALDH1A3	NM_000693
ALDH1B1	NM_000692
ALDH1L1	NM_001270364
ALDH1L1-AS1	NR_046602
ALDH1L1-AS2	NR_046383
ALDH1L2	NM_001034173
ALDH2	NM_000690
ALDH3A1	NM_001135168
ALDH3A2	NM_001031806
ALDH3B1	NM_001030010
ALDH3B2	NM_001031615
ALDH4A1	NM_003748
ALDH5A1	NM_170740
ALDH6A1	NM_005589
ALDH7A1	NM_001201377
ALDH8A1	NM_022568
ALDH9A1	NM_000696
ALDOA	NM_001243177
ALDOB	NM_000035
ALDOC	NM_005165
ALG1	NM_019109
ALG10	NM_032834
ALG10B	NM_001013620
ALG11	NM_001004127
ALG12	NM_024105
ALG13	NM_001099922
ALG14	NM_144988
ALG1L	NM_001015050
ALG1L2	NM_001136152
ALG1L9P	NR_073387
ALG2	NM_033087
ALG3	NM_005787
ALG5	NM_013338
ALG6	NM_013339
ALG8	NM_024079
ALG9	NM_001077690
ALK	NM_004304
ALKBH1	NM_006020
ALKBH2	NM_001145375
ALKBH3	NM_139178
ALKBH3-AS1	NR_038907
ALKBH4	NM_017621
ALKBH5	NM_017758
ALKBH6	NM_032878
ALKBH7	NM_032306
ALKBH8	NM_138775
ALLC	NM_018436
ALMS1	NM_015120
ALMS1-IT1	NR_046762
ALMS1P1	NR_003683
ALOX12	NM_000697
ALOX12-AS1	NR_040089
ALOX12B	NM_001139
ALOX12P2	NR_002710
ALOX15	NM_001140
ALOX15B	NM_001141
ALOX15P1	NR_045985
ALOX5	NM_000698
ALOX5AP	NM_001204406
ALOXE3	NM_001165960
ALPI	NM_001631
ALPK1	NM_001102406
ALPK2	NM_052947
ALPK3	NM_020778
ALPL	NM_000478
ALPP	NM_001632
ALPPL2	NM_031313
ALS2	NM_020919
ALS2CL	NM_147129
ALS2CR11	NM_001168221
ALS2CR12	NM_001127391
ALX1	NM_006982
ALX3	NM_006492
ALX4	NM_021926
ALYREF	NM_005782
AMACR	NM_001167595
AMBN	NM_016519
AMBP	NM_001633
AMBRA1	NM_001267782
AMD1	NM_001634
AMDHD1	NM_152435
AMDHD2	NM_001145815
AMELX	NM_182680
AMELY	NM_001143
AMER1	NM_152424
AMER2	NM_152704
AMER3	NM_152698
AMFR	NM_001144
AMH	NM_000479
AMHR2	NM_020547
AMIGO1	NM_020703
AMIGO2	NM_181847
AMIGO3	NM_198722
AMMECR1	NM_015365
AMMECR1L	NM_031445
AMN	NM_030943
AMN1	NM_001113402
AMOT	NM_001113490
AMOTL1	NM_130847
AMOTL2	NM_016201
AMPD1	NM_000036
AMPD2	NM_001257360
AMPD3	NM_000480
AMPH	NM_001635
AMT	NM_000481
AMTN	NM_212557
AMY1A	NM_001008221
AMY1B	NM_001008218
AMY1C	NM_001008219
AMY2A	NM_000699
AMY2B	NM_020978
AMZ1	NM_133463
AMZ2	NM_001033571
AMZ2P1	NR_026903
ANAPC1	NM_022662
ANAPC10	NM_001256709
ANAPC11	NM_001002244
ANAPC13	NM_015391
ANAPC15	NM_014042
ANAPC16	NM_001242547
ANAPC1P1	NR_037931
ANAPC2	NM_013366
ANAPC4	NM_013367
ANAPC5	NM_016237
ANAPC7	NM_016238
ANG	NM_001145
ANGEL1	NM_015305
ANGEL2	NM_144567
ANGPT1	NM_001146
ANGPT2	NM_001147
ANGPT4	NM_015985
ANGPTL1	NM_004673
ANGPTL2	NM_012098
ANGPTL3	NM_014495
ANGPTL4	NM_139314
ANGPTL5	NM_178127
ANGPTL6	NM_031917
ANGPTL7	NM_021146
ANGPTL8	NM_018687
ANHX	NM_001191054
ANK1	NM_001142446
ANK2	NM_001148
ANK3	NM_020987
ANKAR	NM_144708
ANKDD1A	NM_182703
ANKDD1B	NM_001276713
ANKEF1	NM_198798
ANKFN1	NM_153228
ANKFY1	NM_001257999
ANKH	NM_054027
ANKHD1	NM_001197030
ANKHD1-EIF4EBP3	NM_020690
ANKIB1	NM_019004
ANKK1	NM_178510
ANKLE1	NM_152363
ANKLE2	NM_015114
ANKMY1	NM_016552
ANKMY2	NM_020319
ANKRA2	NM_023039
ANKRD1	NM_014391
ANKRD10	NM_017664
ANKRD11	NM_013275
ANKRD12	NM_015208
ANKRD13A	NM_033121
ANKRD13B	NM_152345
ANKRD13C	NM_030816
ANKRD13D	NM_207354
ANKRD16	NM_019046
ANKRD17	NM_032217
ANKRD18A	NM_147195
ANKRD18B	NM_001244752
ANKRD18CP	NR_136286
ANKRD18DP	NR_003291
ANKRD19P	NR_026868
ANKRD2	NM_020349
ANKRD20A1	NM_032250
ANKRD20A11P	NR_027270
ANKRD20A12P	NR_046228
ANKRD20A19P	NR_073430
ANKRD20A2	NM_001012421
ANKRD20A3	NM_001012419
ANKRD20A4	NM_001098805
ANKRD20A5P	NR_040113
ANKRD20A8P	NR_003366
ANKRD20A9P	NR_138091
ANKRD22	NM_144590
ANKRD23	NM_144994
ANKRD24	NM_133475
ANKRD26	NM_014915
ANKRD26P1	NR_026556
ANKRD26P3	NR_027248
ANKRD27	NM_032139
ANKRD28	NM_015199
ANKRD29	NM_173505
ANKRD30A	NM_052997
ANKRD30B	NM_001145029
ANKRD30BL	NR_027019
ANKRD30BP2	NR_026916
ANKRD30BP3	NR_033891
ANKRD31	NM_001164443
ANKRD33	NM_182608
ANKRD33B	NM_001164440
ANKRD34A	NM_001039888
ANKRD34B	NM_001004441
ANKRD34C	NM_001146341
ANKRD34C-AS1	NR_038997
ANKRD35	NM_144698
ANKRD36	NM_001164315
ANKRD36B	NM_025190
ANKRD36BP1	NR_026844
ANKRD36BP2	NR_015424
ANKRD36C	NM_001310154
ANKRD37	NM_181726
ANKRD39	NM_016466
ANKRD40	NM_052855
ANKRD42	NM_182603
ANKRD44	NM_001195144
ANKRD44-IT1	NR_046837
ANKRD45	NM_198493
ANKRD46	NM_001270379
ANKRD49	NM_017704
ANKRD50	NM_020337
ANKRD52	NM_173595
ANKRD53	NM_001115116
ANKRD54	NM_138797
ANKRD55	NM_024669
ANKRD6	NM_001242809
ANKRD60	NM_001304369
ANKRD61	NM_001271700
ANKRD62	NM_001277333
ANKRD62P1-PARP4P3	NR_040115
ANKRD63	NM_001190479
ANKRD65	NM_001145210
ANKRD66	NM_001162435
ANKRD7	NM_019644
ANKRD9	NM_152326
ANKS1A	NM_015245
ANKS1B	NM_152788
ANKS3	NM_133450
ANKS4B	NM_145865
ANKS6	NM_173551
ANKUB1	NM_001144960
ANKZF1	NM_018089
ANLN	NM_018685
ANO1	NM_018043
ANO1-AS2	NR_103835
ANO10	NM_018075
ANO2	NM_001278596
ANO3	NM_031418
ANO4	NM_178826
ANO5	NM_213599
ANO6	NM_001204803
ANO7	NM_001001891
ANO8	NM_020959
ANO9	NM_001012302
ANOS1	NM_000216
ANP32A	NM_006305
ANP32A-IT1	NR_026808
ANP32AP1	NR_003144
ANP32B	NM_006401
ANP32C	NM_012403
ANP32D	NM_012404
ANP32E	NM_030920
ANPEP	NM_001150
ANTXR1	NM_032208
ANTXR2	NM_001145794
ANTXRL	NM_001278688
ANTXRLP1	NR_103827
ANXA1	NM_000700
ANXA10	NM_007193
ANXA11	NM_001157
ANXA13	NM_001003954
ANXA2	NM_004039
ANXA2P1	NR_001562
